unix,date,open,high,low,close,Volume USD,symbol,macd,macd_signal,macd_hist,rsi,volume,taker_buy_base,volume_delta,cvd,cvd_rolling,ppo,ppo_signal,ppo_hist,delta,ma_7,ma_25,ma_99,oi,oi_usd,funding_rate
1503104400,2017-08-19 01:00:00,4163.49,4184.69,4143.11,4148.53,120196.96993193,BTCUSD,-52.133202,-47.977961,-4.155241,44.18,,,,,,-1.240329,-1.136051,-0.104278,,4095.32,4224.71,,,,
1503108000,2017-08-19 02:00:00,4148.53,4184.0,4148.53,4156.39,77993.67617113,BTCUSD,-47.7489,-47.932148,0.183248,45.01,,,,,,-1.136983,-1.136237,-0.000746,,4098.19,4221.22,,,,
1503111600,2017-08-19 03:00:00,4180.0,4180.0,4103.52,4138.55,81103.36858374,BTCUSD,-45.15944,-47.377594,2.218154,43.43,,,,,,-1.076513,-1.124292,0.04778,,4114.97,4216.06,,,,
1503115200,2017-08-19 04:00:00,4138.5,4156.0,4046.26,4068.26,71543.77215114,BTCUSD,-48.102452,-47.522568,-0.579884,37.79,,,,,,-1.1493,-1.129294,-0.020006,,4128.19,4207.09,,,,
1503118800,2017-08-19 05:00:00,4123.95,4123.95,4027.83,4077.0,51244.65338363,BTCUSD,-49.174114,-47.852882,-1.321232,38.86,,,,,,-1.177212,-1.138878,-0.038335,,4122.94,4198.66,,,,
1503122400,2017-08-19 06:00:00,4077.0,4082.0,3986.87,3986.87,208849.63160484,BTCUSD,-56.5096,-49.584245,-6.925355,32.66,,,,,,-1.357495,-1.182602,-0.174893,,4105.58,4185.59,,,,
1503126000,2017-08-19 07:00:00,3969.12,4033.47,3933.21,4033.47,125576.69706673,BTCUSD,-57.955144,-51.25844,-6.696704,38.15,,,,,,-1.395491,-1.22518,-0.170311,,4087.01,4175.75,,,,
1503129600,2017-08-19 08:00:00,4033.47,4064.84,3964.08,3999.0,72459.21855918,BTCUSD,-61.131823,-53.233131,-7.898692,35.83,,,,,,-1.476107,-1.275366,-0.200741,,4065.65,4163.7,,,,
1503133200,2017-08-19 09:00:00,3999.0,4082.25,3999.0,4068.2,20895.48847039,BTCUSD,-57.481917,-54.082893,-3.399023,43.3,,,,,,-1.389824,-1.298258,-0.091567,,4053.05,4155.12,,,,
1503136800,2017-08-19 10:00:00,4054.0,4082.0,3982.08,4000.58,23709.85973791,BTCUSD,-59.287906,-55.123901,-4.164005,38.57,,,,,,-1.437025,-1.326011,-0.111014,,4033.34,4142.97,,,,
1503140400,2017-08-19 11:00:00,4016.0,4033.0,3850.0,3957.6,190751.80134652,BTCUSD,-63.411405,-56.781408,-6.629997,35.89,,,,,,-1.541688,-1.369147,-0.172541,,4017.53,4127.03,,,,
1503144000,2017-08-19 12:00:00,3945.12,4095.0,3928.89,4095.0,89837.07717694,BTCUSD,-55.083515,-56.441828,1.358313,48.27,,,,,,-1.339659,-1.363249,0.02359,,4020.1,4117.21,,,,
1503147600,2017-08-19 13:00:00,4095.0,4100.0,4035.49,4039.84,51761.33454379,BTCUSD,-52.284168,-55.610294,3.326126,44.55,,,,,,-1.273246,-1.345248,0.072002,,4027.67,4105.54,,,,
1503151200,2017-08-19 14:00:00,4066.0,4068.31,4013.7,4042.41,17524.48067602,BTCUSD,-49.291501,-54.346533,5.055032,44.77,,,,,,-1.201769,-1.316552,0.114784,,4028.95,4095.51,,,,
1503154800,2017-08-19 15:00:00,4036.59,4063.44,3964.67,3972.05,33201.04439541,BTCUSD,-51.945833,-53.866392,1.92056,40.2,,,,,,-1.269483,-1.307139,0.037655,,4025.1,4084.02,,,,
1503158400,2017-08-19 16:00:00,4036.19,4049.69,3953.4,4000.0,16307.55382071,BTCUSD,-51.221718,-53.337457,2.115738,42.7,,,,,,-1.253892,-1.296489,0.042597,,4015.35,4074.54,,,,
1503162000,2017-08-19 17:00:00,3985.0,4048.99,3976.72,4027.37,12263.24524165,BTCUSD,-47.903812,-52.250727,4.346915,45.12,,,,,,-1.173908,-1.271973,0.098065,,4019.18,4065.62,,,,
1503165600,2017-08-19 18:00:00,4013.69,4096.0,4013.69,4086.29,69270.61900105,BTCUSD,-40.092098,-49.818999,9.726901,50.01,,,,,,-0.982378,-1.214054,0.231676,,4037.57,4061.34,,,,
1503169200,2017-08-19 19:00:00,4073.47,4103.92,4073.47,4076.12,6637.28485963,BTCUSD,-34.320809,-46.719359,12.39855,49.2,,,,,,-0.841041,-1.139451,0.298411,,4034.87,4059.69,,,,
1503172800,2017-08-19 20:00:00,4088.71,4103.92,4051.47,4075.98,12154.59138449,BTCUSD,-29.41912,-43.25931,13.84019,49.19,,,,,,-0.720986,-1.055758,0.334772,,4040.03,4057.28,,,,
1503176400,2017-08-19 21:00:00,4075.98,4149.99,4074.23,4074.23,16200.70034813,BTCUSD,-25.382291,-39.683904,14.301613,49.03,,,,,,-0.622124,-0.969031,0.346907,,4044.58,4059.4,,,,
1503180000,2017-08-19 22:00:00,4090.0,4141.0,4090.0,4139.98,9725.38785592,BTCUSD,-16.713334,-35.089789,18.376455,54.94,,,,,,-0.409198,-0.857065,0.447867,,4068.57,4065.97,,,,
1503183600,2017-08-19 23:00:00,4120.78,4139.98,4120.78,4139.98,217.87156282,BTCUSD,-9.731258,-30.018081,20.286824,54.94,,,,,,-0.238012,-0.733254,0.495242,,4088.56,4067.02,,,,
1503187200,2017-08-20 00:00:00,4120.98,4139.98,4044.0,4086.09,9598.79150213,BTCUSD,-8.429511,-25.700366,17.270856,49.48,,,,,,-0.206183,-0.62784,0.421657,,4096.95,4066.13,,,,
1503190800,2017-08-20 01:00:00,4086.09,4086.09,4052.82,4082.53,4322.95571022,BTCUSD,-7.596335,-22.079559,14.483225,49.14,,,,,,-0.185823,-0.539437,0.353613,,4096.42,4062.89,,,,
1503194400,2017-08-20 02:00:00,4096.33,4124.69,4082.62,4124.69,11740.06128425,BTCUSD,-3.507021,-18.365051,14.858031,53.31,,,,,,-0.085732,-0.448696,0.362963,,4103.35,4061.94,,,,
1503198000,2017-08-20 03:00:00,4111.26,4111.26,4094.62,4094.62,1428.51529354,BTCUSD,-2.653313,-15.222703,12.56939,50.15,,,,,,-0.064858,-0.371928,0.30707,,4106.02,4059.47,,,,
